description	annotation_id	genes_found	input_size	term_genes	universe	pval	pval_adj	relative_enrichment	annotsbias	genes
cholesterol biosynthetic process	GO:0006695	2	345	36	18004	0.15110953020408824	0.2977295593522862	2.899194847020934	0	PMVK, IDI2
endothelial cell activation	GO:0042118	1	345	9	18004	0.15984977201061867	0.2977295593522862	5.798389694041868	0	HOXA9
protein localization to cell junction	GO:1902414	1	345	9	18004	0.15984977201061867	0.2977295593522862	5.798389694041868	0	FERMT2
positive regulation of inositol phosphate biosynthetic process	GO:0060732	1	345	9	18004	0.15984977201061867	0.2977295593522862	5.798389694041868	0	AVPR1B
T cell differentiation in thymus	GO:0033077	2	345	36	18004	0.15110953020408824	0.2977295593522862	2.899194847020934	0	ZFP36L2, TP53
response to manganese ion	GO:0010042	1	345	9	18004	0.15984977201061867	0.2977295593522862	5.798389694041868	0	SOD2
epidermis development	GO:0008544	4	345	110	18004	0.16066302587053083	0.29898127937169605	1.897654808959157	0	GRHL1, KRT85, HOXB13, KRT5
transcription, DNA-templated	GO:0006351	4	345	111	18004	0.16433602478115855	0.3050090346834728	1.8805588196892544	0	MYC, INO80, HOXA9, POLR2L
interstrand cross-link repair	GO:0036297	2	345	38	18004	0.16460139102358892	0.3050090346834728	2.746605644546148	0	RAD51, NUCKS1
cell adhesion mediated by integrin	GO:0033627	2	345	38	18004	0.16460139102358892	0.3050090346834728	2.746605644546148	0	ITGB8, ITGA6
cellular calcium ion homeostasis	GO:0006874	4	345	111	18004	0.16433602478115855	0.3050090346834728	1.8805588196892544	0	VDR, ATF4, RMDN3, ATP2B1
hematopoietic progenitor cell differentiation	GO:0002244	3	345	73	18004	0.16449828215142373	0.3050090346834728	2.1446098868374035	0	ADAR, MMP21, TP53
branching involved in labyrinthine layer morphogenesis	GO:0060670	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SPINT1
response to salt stress	GO:0009651	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	TP53
negative regulation of inclusion body assembly	GO:0090084	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	DNAJB8
positive regulation of cell cycle	GO:0045787	2	345	39	18004	0.17142497690348815	0.31048745228361807	2.6761798587885544	0	MYC, BCL2L11
phosphorylation of RNA polymerase II C-terminal domain	GO:0070816	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	CDK9
transferrin transport	GO:0033572	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	LMTK2
tube formation	GO:0035148	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	BCL2L11
integrin activation	GO:0033622	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	FERMT2
cellular response to leucine	GO:0071233	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SESN1
regulation of stem cell division	GO:2000035	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	PRDM15
very-low-density lipoprotein particle assembly	GO:0034379	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SOAT2
epithelium development	GO:0060429	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	HNF1B
Leydig cell differentiation	GO:0033327	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	CCND1
positive regulation of cellular respiration	GO:1901857	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	MYC
response to wounding	GO:0009611	3	345	74	18004	0.1691824332338992	0.31048745228361807	2.1156286721504114	0	MYC, ZFP36L2, HOXB13
response to type I interferon	GO:0034340	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	MX1
intestinal cholesterol absorption	GO:0030299	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SOAT2
brain development	GO:0007420	8	345	282	18004	0.1753903091031117	0.31048745228361807	1.4804399218830302	0	DLX2, BOK, FPGS, BCL2L11, MEIS1, ATM, ATP2B1, ADGRG1
central nervous system projection neuron axonogenesis	GO:0021952	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	CHRNB2
response to cholesterol	GO:0070723	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	PMVK
protein demethylation	GO:0006482	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	KDM2A
SRP-dependent cotranslational protein targeting to membrane	GO:0006614	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SEC61A1
export across plasma membrane	GO:0140115	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SLC22A2
tissue remodeling	GO:0048771	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	MMP14
negative regulation of synaptic transmission, glutamatergic	GO:0051967	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	ATAD1
hydrogen peroxide biosynthetic process	GO:0050665	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SOD2
positive regulation of glucose metabolic process	GO:0010907	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SLC45A3
box C/D snoRNP assembly	GO:0000492	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	RUVBL1
keratinocyte development	GO:0003334	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	EXPH5
regulation of dosage compensation by inactivation of X chromosome	GO:1900095	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	KANSL2
intestinal epithelial cell development	GO:0060576	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SPDEF
oxalate transport	GO:0019532	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SLC26A9
craniofacial suture morphogenesis	GO:0097094	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	MMP14
myeloid cell homeostasis	GO:0002262	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	BCL2L11
histone H3-K36 demethylation	GO:0070544	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	KDM2A
signal transduction in response to DNA damage	GO:0042770	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	CHEK2
positive regulation of T-helper 1 type immune response	GO:0002827	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	NLRP10
regulation of ruffle assembly	GO:1900027	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	WDPCP
membrane disruption in another organism	GO:0051673	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	TOR2A
positive regulation of establishment of protein localization to telomere	GO:1904851	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	TCP1
negative regulation of glycogen biosynthetic process	GO:0045719	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	PASK
cell growth involved in cardiac muscle cell development	GO:0061049	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	PDLIM5
negative regulation of cytosolic calcium ion concentration	GO:0051481	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	ATP2B1
response to interferon-alpha	GO:0035455	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	ADAR
proteoglycan metabolic process	GO:0006029	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	COL2A1
regulation of centriole replication	GO:0046599	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SPICE1
positive regulation of B cell receptor signaling pathway	GO:0050861	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	CD81
cotranslational protein targeting to membrane	GO:0006613	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SEC61A1
regulation of dopamine metabolic process	GO:0042053	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	CHRNB2
regulation of protein localization to cell surface	GO:2000008	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	TOR1A
synaptic vesicle docking	GO:0016081	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	CTBP2
regulation of cell cycle G1/S phase transition	GO:1902806	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	CDKN1B
Sertoli cell development	GO:0060009	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	SOX9
small molecule metabolic process	GO:0044281	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	PC
genitalia development	GO:0048806	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	HNF1B
protein localization to endosome	GO:0036010	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	TOLLIP
transcription by RNA polymerase I	GO:0006360	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	POLR2L
protein deneddylation	GO:0000338	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	TOR1A
ovulation	GO:0030728	1	345	10	18004	0.17595712564078494	0.31048745228361807	5.218550724637682	0	MYC
positive regulation of bone mineralization	GO:0030501	2	345	40	18004	0.17829442186554909	0.3135968823296472	2.609275362318841	0	BMPR1B, ATP2B1
lactation	GO:0007595	2	345	40	18004	0.17829442186554909	0.3135968823296472	2.609275362318841	0	VDR, CCND1
reactive oxygen species metabolic process	GO:0072593	2	345	40	18004	0.17829442186554909	0.3135968823296472	2.609275362318841	0	SOD2, SESN1
intracellular receptor signaling pathway	GO:0030522	2	345	40	18004	0.17829442186554909	0.3135968823296472	2.609275362318841	0	VDR, ARNT
regulation of blood pressure	GO:0008217	3	345	76	18004	0.17866414189381455	0.31374113805991105	2.059954233409611	0	AVPR1B, SOD2, ATP2B1
regulation of growth	GO:0040008	3	345	76	18004	0.17866414189381455	0.31374113805991105	2.059954233409611	0	SHC1, HOXB13, RUVBL1
positive regulation of protein catabolic process	GO:0045732	3	345	77	18004	0.18345879820897076	0.3216427965383965	2.0332015810276682	0	RHBDD3, CDKN1B, SOX9
DNA duplex unwinding	GO:0032508	3	345	77	18004	0.18345879820897076	0.3216427965383965	2.0332015810276682	0	RTEL1, CHD3, RUVBL1
regulation of response to DNA damage stimulus	GO:2001020	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	MCL1
negative regulation of myelination	GO:0031642	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	PTEN
negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	GO:1901029	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	BOK
IRES-dependent viral translational initiation	GO:0075522	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	EIF2D
regulation of macromolecule metabolic process	GO:0060255	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	CDKN1B
UV-damage excision repair	GO:0070914	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	INO80
presynaptic membrane assembly	GO:0097105	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	PTEN
positive regulation of ubiquitin protein ligase activity	GO:1904668	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	PTEN
cellular response to granulocyte macrophage colony-stimulating factor stimulus	GO:0097011	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	ZFP36L2
dorsal/ventral pattern formation	GO:0009953	2	345	42	18004	0.19215404984774911	0.32237537132149297	2.4850241545893716	0	BMPR1B, HOXA11
positive regulation of hepatocyte proliferation	GO:2000347	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	XBP1
V(D)J recombination	GO:0033151	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	ATM
regulation of cytosolic calcium ion concentration	GO:0051480	2	345	41	18004	0.18520547985276256	0.32237537132149297	2.545634499823259	0	BOK, ATP2B1
regulation of signal transduction by p53 class mediator	GO:1901796	2	345	41	18004	0.18520547985276256	0.32237537132149297	2.545634499823259	0	CHEK2, ATM
estrogen biosynthetic process	GO:0006703	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	HSD17B2
canonical glycolysis	GO:0061621	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	PFKM
protein heterooligomerization	GO:0051291	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	MAT2A
positive regulation of protein localization to Cajal body	GO:1904871	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	TCP1
kidney morphogenesis	GO:0060993	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	HNF1B
telomere maintenance via recombination	GO:0000722	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	RAD51
positive regulation of protein exit from endoplasmic reticulum	GO:0070863	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	CD81
negative regulation of ERK1 and ERK2 cascade	GO:0070373	3	345	78	18004	0.18828740341717878	0.32237537132149297	2.0071348940914158	0	PTEN, XBP1, C1QL4
positive regulation of T-helper 17 type immune response	GO:2000318	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	NLRP10
glycosaminoglycan metabolic process	GO:0030203	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	GNS
NADH metabolic process	GO:0006734	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	NUDT17
positive regulation of megakaryocyte differentiation	GO:0045654	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	GATA2
RNA transport	GO:0050658	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	SIDT1
positive regulation of mitochondrial membrane potential	GO:0010918	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	MYC
negative regulation of transcription by competitive promoter binding	GO:0010944	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	KDM2A
maternal behavior	GO:0042711	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	PTEN
regulation of neural precursor cell proliferation	GO:2000177	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	FOXO3
protein maturation by iron-sulfur cluster transfer	GO:0097428	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	HSCB
synaptic vesicle maturation	GO:0016188	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	STXBP1
bile acid signaling pathway	GO:0038183	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	VDR
ER overload response	GO:0006983	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	TP53
receptor recycling	GO:0001881	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	LMTK2
cellular response to vitamin D	GO:0071305	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	ATP2B1
negative regulation of neuron migration	GO:2001223	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	ADGRG1
embryonic organ development	GO:0048568	2	345	42	18004	0.19215404984774911	0.32237537132149297	2.4850241545893716	0	WDPCP, TP53
porphyrin-containing compound biosynthetic process	GO:0006779	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	UROS
embryonic skeletal system development	GO:0048706	2	345	42	18004	0.19215404984774911	0.32237537132149297	2.4850241545893716	0	DLX2, DLX1
regulation of B cell differentiation	GO:0045577	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	ZFP36L2
hair follicle development	GO:0001942	2	345	41	18004	0.18520547985276256	0.32237537132149297	2.545634499823259	0	SOX9, KRT84
snRNA transcription by RNA polymerase II	GO:0042795	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	SNAPC5
fructose 6-phosphate metabolic process	GO:0006002	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	PFKM
positive regulation of MHC class II biosynthetic process	GO:0045348	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	XBP1
cell death	GO:0008219	2	345	42	18004	0.19215404984774911	0.32237537132149297	2.4850241545893716	0	CDKN1B, RRAGA
ganglioside biosynthetic process	GO:0001574	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	ST6GALNAC4
negative regulation of heart rate	GO:0010459	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	RNLS
muscle structure development	GO:0061061	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	PDLIM5
posttranslational protein targeting to endoplasmic reticulum membrane	GO:0006620	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	SEC61A1
regulation of stress-activated MAPK cascade	GO:0032872	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	MAP2K1
Rap protein signal transduction	GO:0032486	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	RAPGEF3
organ induction	GO:0001759	1	345	11	18004	0.19175654720823	0.32237537132149297	4.744137022397892	0	HOXA11
nucleotide-excision repair	GO:0006289	2	345	41	18004	0.18520547985276256	0.32237537132149297	2.545634499823259	0	RAD23B, TP53
retrograde transport, endosome to Golgi	GO:0042147	3	345	78	18004	0.18828740341717878	0.32237537132149297	2.0071348940914158	0	RAB29, ARFRP1, VPS53
regulation of autophagy	GO:0010506	3	345	79	18004	0.19314853068847174	0.32379473130788383	1.981728123280132	0	BOK, RRAGA, ATM
positive regulation of DNA-binding transcription factor activity	GO:0051091	4	345	119	18004	0.19474527297277547	0.3262207683207552	1.7541346973572038	0	FANK1, PTEN, TRIM8, NKX3-1
endoplasmic reticulum organization	GO:0007029	2	345	43	18004	0.19913617185625854	0.33280918836666656	2.427232895180317	0	SEC61A1, TOR1B
positive regulation of B cell proliferation	GO:0030890	2	345	43	18004	0.19913617185625854	0.33280918836666656	2.427232895180317	0	CD81, CHRNB2
cellular response to cytokine stimulus	GO:0071345	2	345	43	18004	0.19913617185625854	0.33280918836666656	2.427232895180317	0	MYC, CDK9
positive regulation of angiogenesis	GO:0045766	5	345	162	18004	0.20031761150479316	0.3345273435619861	1.6106638039005188	0	TERT, RAPGEF3, GATA2, XBP1, ITGB8
cellular response to hydroxyurea	GO:0072711	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	RAD51
positive regulation of receptor recycling	GO:0001921	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	RAB29
regulation of presynaptic cytosolic calcium ion concentration	GO:0099509	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	ATP2B1
cellular response to angiotensin	GO:1904385	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	MYC
suckling behavior	GO:0001967	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	UBE2Q1
negative regulation of axonogenesis	GO:0050771	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	PTEN
immunological synapse formation	GO:0001771	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	CD81
positive regulation of phagocytosis, engulfment	GO:0060100	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	GATA2
polyamine biosynthetic process	GO:0006596	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	ODC1
male sex determination	GO:0030238	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	SOX9
spinal cord association neuron differentiation	GO:0021527	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	GDF7
synapse maturation	GO:0060074	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	PTEN
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	GO:0000288	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	ZFP36L2
positive regulation of DNA damage response, signal transduction by p53 class mediator	GO:0043517	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	ATM
regulation of primary metabolic process	GO:0080090	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	BMPR1B
short-term memory	GO:0007614	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	ADNP
hypothalamus development	GO:0021854	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	MYC
cornification	GO:0070268	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	KRT6A
positive regulation of viral entry into host cell	GO:0046598	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	TMPRSS2
regulation of type I interferon production	GO:0032479	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	TBK1
cellular response to cold	GO:0070417	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	SAXO1
locomotor rhythm	GO:0045475	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	PTEN
negative regulation of telomerase activity	GO:0051974	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	TP53
positive regulation of telomere maintenance	GO:0032206	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	RTEL1
cellular response to peptide	GO:1901653	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	KLF11
cellular response to interleukin-7	GO:0098761	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	RAD23B
ER-associated misfolded protein catabolic process	GO:0071712	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	TOR1A
fatty acid beta-oxidation using acyl-CoA oxidase	GO:0033540	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	ACOXL
cellular response to interleukin-1	GO:0071347	3	345	81	18004	0.20296269931560362	0.3358252382925431	1.9327965646806224	0	MYC, NKX3-1, SOX9
cellular response to lithium ion	GO:0071285	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	CDKN1B
skin morphogenesis	GO:0043589	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	ITGA6
regulation of fibroblast migration	GO:0010762	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	WDPCP
developmental pigmentation	GO:0048066	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	BCL2L11
hepatocyte apoptotic process	GO:0097284	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	KRT18
cellular response to electrical stimulus	GO:0071257	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	PTEN
response to selenium ion	GO:0010269	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	SOD2
response to magnesium ion	GO:0032026	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	CCND1
regulation of chondrocyte differentiation	GO:0032330	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	HOXA11
hexose transmembrane transport	GO:0008645	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	SLC45A3
protein transmembrane transport	GO:0071806	1	345	12	18004	0.20725390680502662	0.3358252382925431	4.348792270531401	0	MCL1
negative regulation of cell growth	GO:0030308	4	345	123	18004	0.21056124211007013	0.3409310089399131	1.6970896665488395	0	CDKN1B, ADAM15, TP53, GAS2L1
negative regulation of MAPK cascade	GO:0043409	2	345	45	18004	0.2131859140394854	0.3446689981616884	2.3193558776167476	0	PRDM15, DUSP8
autophagosome maturation	GO:0097352	2	345	45	18004	0.2131859140394854	0.3446689981616884	2.3193558776167476	0	VAMP8, TECPR1
layer formation in cerebral cortex	GO:0021819	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	ADGRG1
endothelial cell morphogenesis	GO:0001886	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	HOXA13
maturation of 5.8S rRNA	GO:0000460	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	MPHOSPH6
cardiac septum development	GO:0003279	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	TAB1
removal of superoxide radicals	GO:0019430	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	SOD2
chondrocyte proliferation	GO:0035988	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	MMP14
rRNA transcription	GO:0009303	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	TP53
regulation of telomere maintenance	GO:0032204	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	MYC
cellular response to ethanol	GO:0071361	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	SOD2
transcytosis	GO:0045056	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	RAB17
protein insertion into mitochondrial inner membrane	GO:0045039	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	TIMM10B
collagen metabolic process	GO:0032963	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	TNS2
regulation of insulin secretion	GO:0050796	2	345	46	18004	0.22024628504936417	0.3505594466602153	2.268935097668557	0	RFX6, ENSA
plasma membrane tubulation	GO:0097320	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	PACSIN1
positive regulation of ATP biosynthetic process	GO:2001171	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	MYC
prepulse inhibition	GO:0060134	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	PTEN
isoprenoid biosynthetic process	GO:0008299	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	IDI2
regulation of histone acetylation	GO:0035065	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	GATA2
positive regulation of pseudopodium assembly	GO:0031274	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	C15orf62
response to hydrogen peroxide	GO:0042542	2	345	46	18004	0.22024628504936417	0.3505594466602153	2.268935097668557	0	STK25, SOD2
positive regulation of transcription by RNA polymerase I	GO:0045943	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	ATF4
negative regulation of cell motility	GO:2000146	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	SPINT2
amino acid import across plasma membrane	GO:0089718	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	SLC22A2
single fertilization	GO:0007338	3	345	84	18004	0.21789286001914263	0.3505594466602153	1.8637681159420287	0	HOXA10, UMODL1, HOXA11
cytolysis by host of symbiont cells	GO:0051838	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	KRT6A
response to hyperoxia	GO:0055093	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	SOD2
viral process	GO:0016032	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	TP53
regulation of oxidative phosphorylation	GO:0002082	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	MYC
hepatocyte differentiation	GO:0070365	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	HNF1B
regulation of gene expression	GO:0010468	9	345	346	18004	0.22082540244119947	0.3505594466602153	1.3574264890676049	0	MYC, HOXA10, PHLDA2, SOX9, COL2A1, UMODL1, HOXA11, ADNP, TBK1
pre-miRNA processing	GO:0031054	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	ADAR
seminiferous tubule development	GO:0072520	1	345	13	18004	0.2224549629425667	0.3505594466602153	4.0142697881828315	0	ADGRG1
